date,value
2024-04-22,114.49
2024-04-23,116.09
2024-04-24,115.9
2024-04-25,115.0
2024-04-26,117.71
2024-04-29,117.61
2024-04-30,115.61
2024-05-02,116.48
2024-05-03,117.76
2024-05-06,119.51
2024-05-07,118.86
2024-05-08,118.78
2024-05-10,118.69
2024-05-13,118.48
2024-05-14,118.78
2024-05-15,119.97
2024-05-16,119.48
2024-05-17,119.5
2024-05-21,120.68
2024-05-22,120.71
2024-05-23,120.93
2024-05-24,122.17
2024-05-27,122.16
2024-05-28,123.02
2024-05-29,122.54
2024-05-31,121.29
2024-06-03,122.17
2024-06-04,121.71
2024-06-05,123.91
2024-06-06,124.23
2024-06-07,124.48
2024-06-10,125.18
2024-06-11,125.36
2024-06-12,125.64
2024-06-13,125.77
2024-06-14,125.98
2024-06-17,126.4
2024-06-18,126.4
2024-06-19,126.27
2024-06-20,126.68
2024-06-21,126.32
2024-06-24,125.19
2024-06-25,126.68
2024-06-26,127.04
2024-06-27,126.86
2024-06-28,125.83
2024-07-01,126.72
2024-07-02,127.58
2024-07-03,128.61
2024-07-04,128.96
2024-07-05,129.78
2024-07-08,130.07
2024-07-09,130.24
2024-07-10,131.68
2024-07-11,128.93
2024-07-12,129.28
2024-07-15,129.38
2024-07-16,129.49
2024-07-17,125.37
2024-07-18,124.97
2024-07-19,124.11
2024-07-22,126.0
2024-07-23,126.37
2024-07-24,122.08
2024-07-25,120.33
2024-07-26,121.69
2024-07-29,122.13
2024-07-30,120.96
2024-07-31,123.76
2024-08-01,121.14
2024-08-02,116.73
2024-08-05,112.81
2024-08-06,114.55
2024-08-07,113.77
2024-08-08,116.99
2024-08-09,117.95
2024-08-12,118.32
2024-08-13,120.6
2024-08-14,120.38
2024-08-15,123.34
2024-08-16,123.8
2024-08-19,124.65
2024-08-20,123.52
2024-08-21,123.96
2024-08-22,122.44
2024-08-23,123.39
2024-08-26,122.42
2024-08-27,122.65
2024-08-28,121.97
2024-08-29,122.31
2024-08-30,123.62
2024-09-02,123.28
2024-09-03,119.86
2024-09-04,119.19
2024-09-05,119.39
2024-09-06,116.02
2024-09-09,118.39
2024-09-10,119.31
2024-09-11,121.74
2024-09-12,122.98
2024-09-13,123.23
2024-09-16,122.49
2024-09-17,122.35
2024-09-18,121.9
2024-09-19,124.91
