date,value
2018-10-24,33.565
2018-10-25,33.72
2018-10-26,33.095
2018-10-29,33.09
2018-10-30,32.885
2018-10-31,34.02
2018-11-01,34.0
2018-11-02,34.13
2018-11-05,33.98
2018-11-06,34.205
2018-11-07,34.81
2018-11-08,35.18
2018-11-09,34.92
2018-11-12,34.405
2018-11-13,34.52
2018-11-14,33.94
2018-11-15,33.775
2018-11-16,33.735
2018-11-19,33.035
2018-11-20,32.46
2018-11-21,32.74
2018-11-22,32.355
2018-11-23,32.71
2018-11-26,33.03
2018-11-27,33.33
2018-11-28,33.665
2018-11-29,34.03
2018-11-30,34.2
2018-12-03,34.685
2018-12-04,34.605
2018-12-05,33.935
2018-12-06,32.97
2018-12-07,33.115
2018-12-10,32.56
2018-12-11,33.365
2018-12-12,33.69
2018-12-13,33.475
2018-12-14,33.25
2018-12-17,32.64
2018-12-18,32.185
2018-12-19,32.18
2018-12-20,31.13
2018-12-21,31.11
2018-12-27,30.615
2018-12-28,31.365
2019-01-02,31.57
2019-01-03,31.055
2019-01-04,31.615
2019-01-07,31.86
2019-01-08,31.905
2019-01-09,32.175
2019-01-10,32.2
2019-01-11,32.295
2019-01-14,32.15
2019-01-15,32.65
2019-01-16,32.805
2019-01-17,32.845
2019-01-18,33.37
2019-01-21,33.275
2019-01-22,33.18
2019-01-23,32.95
2019-01-24,33.03
2019-01-25,33.175
2019-01-28,32.68
2019-01-29,32.71
2019-01-30,33.08
2019-01-31,33.44
2019-02-01,33.415
2019-02-04,33.65
2019-02-05,34.045
2019-02-06,33.985
2019-02-07,33.62
2019-02-08,33.71
2019-02-11,34.075
2019-02-12,34.32
2019-02-13,34.47
2019-02-14,34.46
2019-02-15,34.785
2019-02-18,34.84
2019-02-19,34.78
2019-02-20,34.75
2019-02-21,34.78
2019-02-22,35.085
2019-02-25,35.205
2019-02-26,35.055
2019-02-27,34.955
2019-02-28,35.07
2019-03-01,35.08
2019-03-04,35.165
2019-03-05,35.295
2019-03-06,35.08
2019-03-07,35.15
2019-03-08,34.805
2019-03-11,35.275
2019-03-12,35.31
2019-03-13,35.55
2019-03-14,35.555
2019-03-15,35.745
2019-03-18,35.7
2019-03-19,35.93
2019-03-20,35.535
2019-03-21,35.99
2019-03-22,35.82
2019-03-25,35.61
