date,value
2013-10-17,2.6888
2013-10-18,2.7068
2013-10-21,2.7148
2013-10-22,2.7132
2013-10-23,2.6944
2013-10-24,2.7012
2013-10-25,2.6996
2013-10-28,2.7064
2013-10-29,2.7228
2013-10-30,2.718
2013-10-31,2.7384
2013-11-01,2.7424
2013-11-04,2.7476
2013-11-05,2.7504
2013-11-06,2.7516
2013-11-07,2.7576
2013-11-08,2.7604
2013-11-11,2.7616
2013-11-12,2.748
2013-11-13,2.7436
2013-11-14,2.7692
2013-11-15,2.7964
2013-11-18,2.7892
2013-11-19,2.7764
2013-11-20,2.7852
2013-11-21,2.7772
2013-11-22,2.7736
2013-11-25,2.786
2013-11-26,2.7684
2013-11-27,2.7756
2013-11-28,2.774
2013-11-29,2.78
2013-12-02,2.7768
2013-12-03,2.7412
2013-12-04,2.7424
2013-12-05,2.7136
2013-12-06,2.7344
2013-12-09,2.7372
2013-12-10,2.7188
2013-12-11,2.6948
2013-12-12,2.678
2013-12-13,2.678
2013-12-16,2.6956
2013-12-17,2.6796
2013-12-18,2.692
2013-12-19,2.7408
2013-12-20,2.756
2013-12-23,2.756
2013-12-27,2.78
2013-12-30,2.7808
2014-01-02,2.7844
2014-01-03,2.7904
2014-01-06,2.7752
2014-01-07,2.7976
2014-01-08,2.8016
2014-01-09,2.7888
2014-01-10,2.7872
2014-01-13,2.7992
2014-01-14,2.7848
2014-01-15,2.8192
2014-01-16,2.8112
2014-01-17,2.8244
2014-01-20,2.8212
2014-01-21,2.8176
2014-01-22,2.824
2014-01-23,2.7784
2014-01-24,2.7264
2014-01-27,2.7
2014-01-28,2.7136
2014-01-29,2.7076
2014-01-30,2.73
2014-01-31,2.7244
2014-02-03,2.68
2014-02-04,2.6804
2014-02-05,2.6696
2014-02-06,2.6976
2014-02-07,2.718
2014-02-10,2.7196
2014-02-11,2.7476
2014-02-12,2.7728
2014-02-13,2.7608
2014-02-14,2.776
2014-02-17,2.7824
2014-02-18,2.7792
2014-02-19,2.78
2014-02-20,2.7764
2014-02-21,2.7892
2014-02-24,2.8032
2014-02-25,2.7968
2014-02-26,2.8064
2014-02-27,2.7992
2014-02-28,2.7992
